carrier,generation_GWh,share_pct
           hydro,3539.04,17.583089019967094
         hydro,1401.6,6.963599611868156
         solar,657.0,3.264187318063198
        gas,1327.4778600000004,6.595336979637252
       gas,224.0342100000001,1.1130740138421729
      gas,47.99902999999998,0.23847461949061632
      hydro,8570.931739999998,42.58314564641299
    gas,2825.8357400000004,14.03966086063582
    solar,175.2,0.8704499514835194
   gas,1022.29079,5.079069455237151
   solar,310.98,1.545048663883247
  biogas,0.6628000000000001,0.0032930035835803464
 gas,2.5691999999999893,0.012764611959768545
gas,0.0,0.0
solar,21.9,0.10880624393543993
